id,title,genres,keywords,cast,vote_average,vote_count,soup
19995,Avatar,action adventure fantasy science fiction,culture clash future space war space colony society,sam worthington zoe saldana sigourney weaver stephen lang michelle rodriguez,7.2,11800,culture clash future space war space colony society sam worthington zoe saldana sigourney weaver stephen lang michelle rodriguez action adventure fantasy science fiction
285,Pirates of the Caribbean: At World's End,adventure fantasy action,ocean drug abuse exotic island east india trading company love of ones life,johnny depp orlando bloom keira knightley stellan skarsguerd chow yunfat,6.9,4500,ocean drug abuse exotic island east india trading company love of ones life johnny depp orlando bloom keira knightley stellan skarsguerd chow yunfat adventure fantasy action
206647,Spectre,action adventure crime,spy based on novel secret agent sequel mi,daniel craig christoph waltz luea seydoux ralph fiennes monica bellucci,6.3,4466,spy based on novel secret agent sequel mi daniel craig christoph waltz luea seydoux ralph fiennes monica bellucci action adventure crime
49026,The Dark Knight Rises,action crime drama thriller,dc comics crime fighter terrorist secret identity burglar,christian bale michael caine gary oldman anne hathaway tom hardy,7.6,9106,dc comics crime fighter terrorist secret identity burglar christian bale michael caine gary oldman anne hathaway tom hardy action crime drama thriller
49529,John Carter,action adventure science fiction,based on novel mars medallion space travel princess,taylor kitsch lynn collins samantha morton willem dafoe thomas haden church,6.1,2124,based on novel mars medallion space travel princess taylor kitsch lynn collins samantha morton willem dafoe thomas haden church action adventure science fiction
559,Spider-Man 3,fantasy action adventure,dual identity amnesia sandstorm love of ones life forgiveness,tobey maguire kirsten dunst james franco thomas haden church topher grace,5.9,3576,dual identity amnesia sandstorm love of ones life forgiveness tobey maguire kirsten dunst james franco thomas haden church topher grace fantasy action adventure
38757,Tangled,animation family,hostage magic horse fairy tale musical,zachary levi mandy moore donna murphy ron perlman mc gainey,7.4,3330,hostage magic horse fairy tale musical zachary levi mandy moore donna murphy ron perlman mc gainey animation family
99861,Avengers: Age of Ultron,action adventure science fiction,marvel comic sequel superhero based on comic book vision,robert downey jr chris hemsworth mark ruffalo chris evans scarlett johansson,7.3,6767,marvel comic sequel superhero based on comic book vision robert downey jr chris hemsworth mark ruffalo chris evans scarlett johansson action adventure science fiction
767,Harry Potter and the Half-Blood Prince,adventure fantasy family,witch magic broom school of witchcraft wizardry,daniel radcliffe rupert grint emma watson tom felton michael gambon,7.4,5293,witch magic broom school of witchcraft wizardry daniel radcliffe rupert grint emma watson tom felton michael gambon adventure fantasy family
209112,Batman v Superman: Dawn of Justice,action adventure fantasy,dc comics vigilante superhero based on comic book revenge,ben affleck henry cavill gal gadot amy adams jesse eisenberg,5.7,7004,dc comics vigilante superhero based on comic book revenge ben affleck henry cavill gal gadot amy adams jesse eisenberg action adventure fantasy
1452,Superman Returns,adventure fantasy action science fiction,saving the world dc comics invulnerability sequel superhero,brandon routh kevin spacey kate bosworth james marsden parker posey,5.4,1400,saving the world dc comics invulnerability sequel superhero brandon routh kevin spacey kate bosworth james marsden parker posey adventure fantasy action science fiction
10764,Quantum of Solace,adventure action thriller crime,killing undercover secret agent british secret service,daniel craig olga kurylenko mathieu amalric judi dench giancarlo giannini,6.1,2965,killing undercover secret agent british secret service daniel craig olga kurylenko mathieu amalric judi dench giancarlo giannini adventure action thriller crime
58,Pirates of the Caribbean: Dead Man's Chest,adventure fantasy action,witch fortune teller bondage exotic island monster,johnny depp orlando bloom keira knightley stellan skarsguerd bill nighy,7.0,5246,witch fortune teller bondage exotic island monster johnny depp orlando bloom keira knightley stellan skarsguerd bill nighy adventure fantasy action
57201,The Lone Ranger,action adventure western,texas horse survivor texas ranger partner,johnny depp armie hammer william fichtner helena bonham carter james badge dale,5.9,2311,texas horse survivor texas ranger partner johnny depp armie hammer william fichtner helena bonham carter james badge dale action adventure western
49521,Man of Steel,action adventure fantasy science fiction,saving the world dc comics superhero based on comic book superhuman,henry cavill amy adams michael shannon kevin costner diane lane,6.5,6359,saving the world dc comics superhero based on comic book superhuman henry cavill amy adams michael shannon kevin costner diane lane action adventure fantasy science fiction
2454,The Chronicles of Narnia: Prince Caspian,adventure family fantasy,based on novel fictional place brother sister relationship lion human being,ben barnes william moseley anna popplewell skandar keynes georgie henley,6.3,1630,based on novel fictional place brother sister relationship lion human being ben barnes william moseley anna popplewell skandar keynes georgie henley adventure family fantasy
24428,The Avengers,science fiction action adventure,new york shield marvel comic superhero based on comic book,robert downey jr chris evans mark ruffalo chris hemsworth scarlett johansson,7.4,11776,new york shield marvel comic superhero based on comic book robert downey jr chris evans mark ruffalo chris hemsworth scarlett johansson science fiction action adventure
1865,Pirates of the Caribbean: On Stranger Tides,adventure action fantasy,sea captain mutiny sword prime minister,johnny depp penuelope cruz ian mcshane kevin mcnally geoffrey rush,6.4,4948,sea captain mutiny sword prime minister johnny depp penuelope cruz ian mcshane kevin mcnally geoffrey rush adventure action fantasy
41154,Men in Black 3,action comedy science fiction,time travel time machine alien fictional government agency seeing the future,will smith tommy lee jones josh brolin michael stuhlbarg emma thompson,6.2,4160,time travel time machine alien fictional government agency seeing the future will smith tommy lee jones josh brolin michael stuhlbarg emma thompson action comedy science fiction
122917,The Hobbit: The Battle of the Five Armies,action adventure fantasy,corruption elves dwarves orcs middleearth tolkien,martin freeman ian mckellen richard armitage ken stott graham mctavish,7.1,4760,corruption elves dwarves orcs middleearth tolkien martin freeman ian mckellen richard armitage ken stott graham mctavish action adventure fantasy
1930,The Amazing Spider-Man,action adventure fantasy,loss of father vigilante serum marvel comic scientific experiment,andrew garfield emma stone rhys ifans denis leary campbell scott,6.5,6586,loss of father vigilante serum marvel comic scientific experiment andrew garfield emma stone rhys ifans denis leary campbell scott action adventure fantasy
20662,Robin Hood,action adventure,robin hood archer knight sherwood forest bow and arrow,russell crowe cate blanchett max von sydow william hurt mark strong,6.2,1398,robin hood archer knight sherwood forest bow and arrow russell crowe cate blanchett max von sydow william hurt mark strong action adventure
