id,title,genres,keywords,cast,vote_average,vote_count
19995,Avatar,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,7.2,11800
285,Pirates of the Caribbean: At World's End,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,6.9,4500
206647,Spectre,Action Adventure Crime,spy based on novel secret agent sequel mi6,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,6.3,4466
49026,The Dark Knight Rises,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,7.6,9106
49529,John Carter,Action Adventure Science Fiction,based on novel mars medallion space travel princess,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,6.1,2124
559,Spider-Man 3,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,5.9,3576
38757,Tangled,Animation Family,hostage magic horse fairy tale musical,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,7.4,3330
99861,Avengers: Age of Ultron,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,7.3,6767
767,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,7.4,5293
209112,Batman v Superman: Dawn of Justice,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,5.7,7004
1452,Superman Returns,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,5.4,1400
10764,Quantum of Solace,Adventure Action Thriller Crime,killing undercover secret agent british secret service,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,6.1,2965
58,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,7.0,5246
57201,The Lone Ranger,Action Adventure Western,texas horse survivor texas ranger partner,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,5.9,2311
49521,Man of Steel,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,6.5,6359
2454,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,6.3,1630
24428,The Avengers,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,7.4,11776
1865,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,sea captain mutiny sword prime minister,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,6.4,4948
41154,Men in Black 3,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,6.2,4160
122917,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,7.1,4760
1930,The Amazing Spider-Man,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,6.5,6586
20662,Robin Hood,Action Adventure,robin hood archer knight sherwood forest bow and arrow,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,6.2,1398
57158,The Hobbit: The Desolation of Smaug,Adventure Fantasy,elves dwarves orcs hobbit dragon,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,7.6,4524
2268,The Golden Compass,Adventure Fantasy,england compass experiment lordship uncle,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,5.8,1303
254,King Kong,Adventure Drama Action,film business screenplay show business film making film producer,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,6.6,2337
597,Titanic,Drama Romance Thriller,shipwreck iceberg ship panic titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,7.5,7562
271110,Captain America: Civil War,Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,7.1,7241
44833,Battleship,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,5.5,2114
135397,Jurassic World,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,6.5,8662
37724,Skyfall,Action Adventure Thriller,spy secret agent sociopath killer art gallery,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,6.9,7604
558,Spider-Man 2,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,6.7,4321
68721,Iron Man 3,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,6.8,8806
12155,Alice in Wonderland,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,6.4,4645
36668,X-Men: The Last Stand,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,6.3,3525
62211,Monsters University,Animation Family,monster dormitory games animation best friend,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,7.0,3528
8373,Transformers: Revenge of the Fallen,Science Fiction Action Adventure,egypt sun chaos symbol artifact,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,6.0,3138
91314,Transformers: Age of Extinction,Science Fiction Action Adventure,sequel alien transformers giant robot robot,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,5.8,3095
68728,Oz: The Great and Powerful,Fantasy Adventure Family,circus witch magic hope illusion,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,5.7,3530
102382,The Amazing Spider-Man 2,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,6.5,4179
20526,TRON: Legacy,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,6.3,2841
49013,Cars 2,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,5.8,2033
